File_Type,GValue
File_Version,2
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210326_122230
MTP,1
Plate-ID,
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3,0
Rectangle_Spot_Size_Y_MM,3,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,50
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,"31,349","30,498","29,324","29,120","30,669","29,702","31,173","35,722","32,527","33,675","36,004","32,282","28,004","26,655","26,251","26,537","27,449","28,878","29,071","28,190","28,569","28,963","28,761","29,112","27,673","26,600","28,102","26,567","31,931","29,671","26,745","28,641","27,157","29,075","30,135","29,994","26,786","25,935","25,602","26,147","25,692","26,453","26,704","28,333","27,033","27,894","27,341","29,065","27,857","26,204","25,778","25,510","25,471","25,863","25,763","25,892","25,618","27,202","28,461","29,714","26,749","26,473","26,292","30,165","28,159","25,604","26,847","31,016","28,729","30,749","28,814","29,100","26,637","30,141","30,006","29,733","29,608","28,567","28,402","30,294","34,073","29,553","28,324","30,065","28,698","28,673","31,133","29,992","29,247","30,743","30,473","35,157","33,510","32,753","30,967","31,286",,mtp01_20210326_122230.bmp
20,"30,792","28,961","30,424","28,918","33,006","30,847","35,349","40,704","32,476","36,304","37,253","33,541","27,261","27,214","26,033","26,249","27,043","28,567","29,527","28,325","28,410","28,565","28,912","28,784","26,482","26,853","29,429","26,773","37,212","32,892","27,602","27,261","27,033","29,751","28,973","29,973","25,808","26,051","25,522","25,471","25,906","28,418","27,767","29,245","25,967","28,100","27,220","29,561","28,353","24,796","25,218","24,855","25,380","25,325","26,359","25,875","25,967","27,067","29,290","30,337","27,304","25,771","25,659","28,967","25,702","26,818","28,065","33,527","30,704","29,416","29,596","29,357","26,847","31,876","30,933","29,882","29,702","29,655","29,861","31,953","32,629","29,673","27,604","30,975","27,773","28,069","29,598","29,235","29,537","29,325","31,816","34,382","32,755","31,714","31,088","30,751",,mtp01_20210326_124233.bmp
"40,25","31,694","27,875","29,839","29,078","33,776","30,680","33,716","37,484","33,008","35,475","37,794","34,824","27,665","25,961","26,014","26,457","27,390","28,657","29,131","28,088","28,180","28,843","28,416","29,082","26,861","26,016","30,535","27,402","35,257","27,437","25,976","26,829","26,492","29,835","29,053","30,235","26,388","25,065","25,875","25,063","25,827","25,508","26,331","29,082","25,820","29,231","27,084","30,459","28,063","24,802","25,422","25,504","25,804","25,467","26,663","25,857","26,457","27,859","28,875","31,224","27,094","26,490","26,147","29,924","25,871","26,276","26,149","32,394","30,306","31,288","29,610","29,090","26,790","32,265","33,078","30,314","28,478","30,896","27,910","31,996","30,467","29,576","27,935","31,306","27,494","28,210","30,567","29,169","29,596","30,057","31,102","34,420","33,173","32,545","30,886","31,096",,mtp01_20210326_130245.bmp
"60,25","32,382","27,659","29,751","29,137","32,090","30,482","32,833","34,429","33,263","34,345","34,186","35,745","27,875","25,263","26,059","26,331","27,690","28,720","28,955","28,106","28,151","28,810","28,333","29,227","27,153","25,255","29,827","26,600","35,043","27,633","26,108","26,833","26,414","30,116","29,524","30,314","26,753","25,124","25,343","25,124","25,094","27,024","26,533","27,745","26,122","28,680","27,014","31,029","28,576","24,982","25,084","25,649","25,769","25,380","25,849","26,216","26,271","27,653","28,763","30,637","27,449","26,341","25,818","27,855","25,759","25,051","25,514","33,533","30,802","30,782","28,824","28,590","27,022","31,080","33,980","28,473","28,422","31,978","27,580","32,584","30,308","29,202","27,976","31,167","27,576","28,524","30,627","29,306","29,196","30,214","30,253","35,614","34,173","33,227","31,202","31,025",,mtp01_20210326_132239.bmp
"80,25","33,041","27,775","28,135","29,149","29,769","29,378","32,098","34,392","33,645","32,284","34,198","34,910","27,984","25,265","26,149","26,237","27,173","28,784","28,641","28,243","28,157","29,225","28,345","29,222","27,480","25,439","28,167","26,576","29,867","28,194","26,137","27,216","26,488","29,463","29,651","30,761","27,300","25,202","24,833","25,186","25,257","25,478","26,549","27,820","26,329","28,135","26,937","30,743","28,318","25,190","25,237","25,406","26,457","25,629","25,586","26,243","25,592","27,412","28,663","30,351","27,375","25,969","25,700","26,802","25,767","24,931","25,402","34,627","28,620","30,573","28,527","29,386","27,096","31,667","34,673","28,853","27,655","28,586","27,651","30,992","31,018","29,396","28,020","31,749","27,584","28,529","31,176","29,518","29,520","30,855","30,502","35,722","35,263","33,547","31,488","31,510",,mtp01_20210326_134246.bmp
"100,25","33,835","27,724","28,065","29,306","28,890","29,794","33,192","34,751","33,237","32,467","34,304","34,980","28,296","25,371","26,169","26,445","27,086","28,747","28,922","28,537","28,265","29,102","28,492","29,120","27,994","25,114","28,306","26,880","28,657","26,643","26,237","27,422","26,624","29,388","29,527","31,335","27,794","24,027","24,875","25,073","25,147","25,743","25,955","28,220","26,598","28,459","27,012","29,576","28,363","25,431","25,380","25,318","26,098","25,571","26,000","26,569","25,753","27,425","28,443","30,200","27,522","24,573","25,886","26,833","25,973","24,871","25,547","32,945","28,071","31,233","28,837","29,410","27,333","28,033","32,363","29,216","27,859","27,567","27,698","31,378","31,655","29,594","27,943","32,267","27,439","29,039","32,371","29,114","29,718","31,300","30,727","36,533","36,365","34,020","31,088","30,851",,mtp01_20210326_140247.bmp
"120,25","34,396","27,827","28,122","29,273","28,835","30,386","33,035","35,043","33,912","32,565","34,400","33,398","28,727","25,337","26,333","26,349","27,122","28,824","28,686","28,837","28,184","29,259","28,490","29,035","28,424","25,120","28,841","26,708","27,084","27,059","26,584","27,790","26,692","29,806","29,810","31,575","28,435","24,033","25,047","25,404","25,249","26,414","26,131","28,818","26,898","28,757","27,039","30,043","28,825","25,849","25,663","25,116","24,996","25,837","26,108","26,771","25,659","27,522","28,735","30,386","27,700","24,645","26,018","26,927","25,916","24,937","25,894","32,559","28,069","32,378","29,292","29,839","27,463","28,167","32,610","29,698","28,314","27,504","27,920","32,069","32,620","29,998","28,220","33,090","27,722","29,488","32,935","29,312","29,508","31,761","30,606","37,055","37,847","34,631","31,084","30,837",,mtp01_20210326_142247.bmp
"140,25","33,543","27,816","28,127","29,280","28,992","30,127","33,210","35,225","33,704","32,692","34,475","33,343","28,939","25,439","26,445","26,402","27,190","28,706","28,839","29,208","28,414","29,380","28,618","29,418","28,641","25,325","29,110","26,843","28,076","27,102","25,280","28,063","26,806","28,745","29,945","31,588","29,253","24,110","25,243","25,355","25,300","26,796","26,151","29,225","27,341","29,131","27,149","30,284","28,380","26,129","25,849","25,216","25,141","25,884","26,229","27,224","25,682","27,584","28,492","31,002","27,694","24,675","25,994","27,092","25,755","25,045","25,857","33,665","28,104","32,224","29,722","29,984","27,661","28,267","32,935","30,067","28,537","27,586","28,127","32,443","33,363","30,355","28,520","33,455","27,292","29,886","33,657","29,410","29,520","32,827","30,663","37,800","39,518","35,318","31,194","30,827",,mtp01_20210326_144246.bmp
"160,25","33,992","27,890","28,294","29,380","29,002","30,467","33,114","35,210","33,943","32,341","34,463","32,912","29,292","25,478","26,529","26,302","27,149","28,667","28,792","29,390","28,496","29,492","28,831","29,222","29,116","25,314","29,486","26,771","28,212","27,300","25,237","28,318","26,910","29,204","30,106","32,306","29,406","24,084","25,629","25,408","25,308","27,318","26,349","29,796","27,627","29,167","27,384","30,453","28,653","26,516","26,106","25,182","25,288","25,918","26,271","27,363","25,694","27,608","28,690","30,945","27,829","24,790","26,218","27,627","25,835","24,994","26,035","34,118","28,212","32,610","30,008","30,427","27,806","28,827","33,171","30,831","29,071","27,651","28,231","32,755","34,196","30,651","28,486","32,476","27,380","30,378","34,500","29,478","29,655","33,373","30,898","38,771","40,888","35,965","31,378","30,829",,mtp01_20210326_150245.bmp
"180,25","34,451","27,961","28,282","29,541","29,047","30,410","33,520","31,749","34,075","32,361","34,506","33,173","29,543","25,445","26,669","26,508","27,269","28,653","28,729","29,682","28,702","29,524","28,606","29,373","29,467","25,378","27,388","26,827","28,402","27,033","25,424","28,567","26,912","29,096","30,396","32,269","29,849","23,986","25,569","25,576","25,343","27,625","26,382","30,302","27,859","29,478","27,167","30,806","28,676","26,835","26,151","25,212","25,331","26,049","26,804","27,735","25,776","27,616","28,749","31,300","28,163","24,886","26,320","27,735","25,994","25,035","26,145","35,537","28,265","33,000","30,104","30,929","27,904","28,720","33,445","31,339","29,033","27,635","28,327","33,437","34,914","30,843","28,759","33,012","27,322","30,782","35,333","29,576","29,818","33,947","30,984","39,318","42,204","36,535","31,329","30,847",,mtp01_20210326_152239.bmp
"200,25","34,820","28,025","28,300","29,469","29,069","30,441","33,327","31,800","33,710","32,292","34,484","32,857","29,702","25,437","26,678","26,718","27,284","28,729","28,653","29,647","28,635","29,624","28,620","29,425","29,743","25,320","27,618","26,888","28,404","27,231","25,386","28,778","26,969","29,284","30,576","32,588","30,155","24,186","25,635","25,614","25,367","27,612","26,578","31,006","28,061","29,669","27,116","30,971","28,925","27,080","26,282","25,318","25,322","26,200","26,551","28,088","25,706","27,835","28,847","31,496","28,067","24,833","26,508","27,812","26,098","25,094","26,290","36,237","28,373","33,524","30,543","31,131","28,106","27,686","33,602","31,322","29,453","27,814","28,451","33,794","35,704","31,094","29,067","33,390","27,273","31,069","36,067","29,600","29,908","34,522","30,929","40,039","43,292","36,955","31,322","30,765",,mtp01_20210326_154246.bmp
"220,25","35,245","27,976","28,292","29,573","29,182","30,478","33,286","31,535","33,827","32,347","34,496","32,998","29,996","25,504","26,722","26,418","27,324","28,745","28,729","29,924","28,718","29,773","28,853","29,463","30,055","25,341","27,857","27,000","28,571","27,437","25,429","29,218","27,096","28,910","30,698","32,637","30,527","24,192","25,767","25,673","25,416","27,594","26,661","31,353","28,492","30,051","27,155","31,349","29,076","27,494","26,524","25,345","25,586","26,325","26,855","28,088","25,539","27,924","29,063","31,904","28,290","24,900","26,692","27,969","26,239","25,043","26,386","37,247","28,473","34,061","30,792","31,627","28,075","27,855","33,949","31,729","29,686","27,906","28,600","34,102","36,320","31,347","29,127","33,769","27,316","31,475","36,827","29,827","29,912","35,139","31,086","40,841","44,584","37,561","31,410","30,837",,mtp01_20210326_160246.bmp
"240,25","35,622","28,171","28,255","29,696","29,333","30,522","33,918","31,718","33,945","32,382","34,561","32,878","30,080","25,502","26,735","26,508","27,402","28,724","28,920","30,100","28,804","29,759","28,778","29,694","30,455","25,506","28,037","27,375","28,690","27,645","25,633","29,288","27,200","28,973","30,753","32,898","30,831","24,278","25,890","25,833","25,545","27,888","26,733","31,682","28,729","30,280","27,429","31,684","29,151","27,802","26,671","25,486","25,663","26,504","26,900","28,329","25,614","27,812","29,022","32,443","28,394","25,110","26,782","28,129","26,312","25,106","26,747","38,573","28,661","34,516","31,245","31,725","28,304","27,992","34,271","32,300","30,480","27,824","28,916","34,545","37,102","31,625","29,259","34,249","27,157","31,965","37,410","29,998","30,159","35,696","31,480","41,686","45,982","38,084","31,624","30,747",,mtp01_20210326_162247.bmp
"260,25","36,020","28,159","28,341","29,843","29,306","30,678","33,843","31,555","34,108","32,378","34,529","32,922","30,429","25,567","26,765","26,508","27,371","28,788","28,851","30,314","28,878","29,816","28,767","29,604","30,529","25,437","28,008","27,537","28,796","27,659","25,673","29,680","27,233","29,200","30,782","33,171","31,159","24,306","26,090","25,922","25,639","28,139","26,743","32,259","29,339","30,457","27,200","31,694","29,316","28,110","26,829","25,357","25,839","26,567","26,933","28,675","25,745","28,029","29,165","32,600","28,459","25,216","26,749","28,504","26,475","25,194","26,663","38,227","28,641","35,078","31,341","31,980","28,320","27,984","34,104","32,508","30,378","27,851","28,939","35,194","37,610","31,800","29,676","34,806","27,159","32,218","38,031","30,027","30,027","36,088","31,486","42,269","47,206","38,471","31,639","30,733",,mtp01_20210326_164246.bmp
